dil4reps94,test.result.1,test.result.2,test.result.3,conformity
F15_1,y,y,y,TRUE
F15_2,y,y,y,TRUE
F15_3,y,y,y,TRUE
F15_4,y,y,y,TRUE
F15_5,y,y,y,TRUE
F15_6,y,y,y,TRUE
F15_7,y,y,y,TRUE
F15_8,y,y,y,TRUE
F15_9,y,y,y,TRUE
F15_10,y,y,y,TRUE
F15_11,y,y,y,TRUE
F15_12,y,y,y,TRUE
F15_13,y,y,y,TRUE
F15_14,y,y,y,TRUE
F15_15,y,y,y,TRUE
F15_16,y,y,y,TRUE
F15_17,y,y,y,TRUE
F15_18,y,y,y,TRUE
F15_19,y,y,y,TRUE
F15_20,y,y,y,TRUE
F15_21,y,y,y,TRUE
F15_22,y,y,y,TRUE
F15_23,y,y,y,TRUE
F15_24,y,y,y,TRUE
F15_25,y,y,y,TRUE
F15_26,y,y,y,TRUE
F15_27,y,y,y,TRUE
F15_28,y,y,y,TRUE
F15_29,y,y,y,TRUE
F15_30,y,y,y,TRUE
F15_31,y,y,y,TRUE
F15_32,y,y,y,TRUE
F15_33,y,y,y,TRUE
F15_34,y,y,y,TRUE
F15_35,y,y,y,TRUE
F15_36,y,y,y,TRUE
F15_37,y,y,y,TRUE
F15_38,y,y,y,TRUE
F15_39,y,y,y,TRUE
F15_40,y,y,y,TRUE
F15_41,y,y,y,TRUE
F15_42,y,y,y,TRUE
F15_43,y,y,y,TRUE
F15_44,y,y,y,TRUE
F15_45,y,y,y,TRUE
F15_46,y,y,y,TRUE
F15_47,y,y,y,TRUE
F15_48,y,y,y,TRUE
F15_49,y,y,y,TRUE
F15_50,y,y,y,TRUE
F15_51,y,y,y,TRUE
F15_52,y,y,y,TRUE
F15_53,y,y,y,TRUE
F15_54,y,y,y,TRUE
F15_55,y,y,y,TRUE
F15_56,y,y,y,TRUE
F15_57,y,y,y,TRUE
F15_58,y,y,y,TRUE
F15_59,y,y,y,TRUE
F15_60,y,y,y,TRUE
F15_61,y,y,y,TRUE
F15_62,y,y,y,TRUE
F15_63,y,y,y,TRUE
F15_64,y,y,y,TRUE
F15_65,y,y,y,TRUE
F15_66,y,y,y,TRUE
F15_67,y,y,y,TRUE
F15_68,y,y,y,TRUE
F15_69,y,y,y,TRUE
F15_70,y,y,y,TRUE
F15_71,y,y,y,TRUE
F15_72,y,y,y,TRUE
F15_73,y,y,y,TRUE
F15_74,y,y,y,TRUE
F15_75,y,y,y,TRUE
F15_76,y,y,y,TRUE
F15_77,y,y,y,TRUE
F15_78,y,y,y,TRUE
F15_79,y,y,y,TRUE
F15_80,y,y,y,TRUE
F15_81,y,y,y,TRUE
F15_82,y,y,y,TRUE
F15_83,y,y,y,TRUE
F15_84,y,y,y,TRUE
F15_85,y,y,y,TRUE
F15_86,y,y,y,TRUE
F15_87,y,y,y,TRUE
F15_88,y,y,y,TRUE
F15_89,y,y,y,TRUE
F15_90,y,y,y,TRUE
F15_91,y,y,y,TRUE
F15_92,y,y,y,TRUE
F15_93,y,y,y,TRUE
F15_94,y,y,y,TRUE
F150_1,y,y,y,TRUE
F150_2,y,y,y,TRUE
F150_3,y,y,y,TRUE
F150_4,y,y,y,TRUE
F150_5,y,y,y,TRUE
F150_6,y,y,y,TRUE
F150_7,y,y,y,TRUE
F150_8,y,y,y,TRUE
F150_9,y,y,y,TRUE
F150_10,y,y,y,TRUE
F150_11,y,y,y,TRUE
F150_12,y,y,y,TRUE
F150_13,y,y,y,TRUE
F150_14,y,y,y,TRUE
F150_15,y,y,y,TRUE
F150_16,y,y,y,TRUE
F150_17,y,y,y,TRUE
F150_18,y,y,y,TRUE
F150_19,y,y,y,TRUE
F150_20,y,y,y,TRUE
F150_21,y,y,y,TRUE
F150_22,y,y,y,TRUE
F150_23,y,y,y,TRUE
F150_24,y,y,y,TRUE
F150_25,y,y,y,TRUE
F150_26,y,y,y,TRUE
F150_27,y,y,y,TRUE
F150_29,y,y,y,TRUE
F150_30,y,y,y,TRUE
F150_31,y,y,y,TRUE
F150_32,y,y,y,TRUE
F150_33,y,y,y,TRUE
F150_34,y,y,y,TRUE
F150_35,y,y,y,TRUE
F150_36,y,y,y,TRUE
F150_37,y,y,y,TRUE
F150_38,y,y,y,TRUE
F150_39,y,y,y,TRUE
F150_40,y,y,y,TRUE
F150_41,y,y,y,TRUE
F150_42,y,y,y,TRUE
F150_43,y,y,y,TRUE
F150_44,y,y,y,TRUE
F150_45,y,y,y,TRUE
F150_46,y,y,y,TRUE
F150_47,y,y,y,TRUE
F150_48,y,y,y,TRUE
F150_49,y,y,y,TRUE
F150_50,y,y,y,TRUE
F150_51,y,y,y,TRUE
F150_52,y,y,y,TRUE
F150_53,y,y,y,TRUE
F150_54,y,y,y,TRUE
F150_55,y,y,y,TRUE
F150_56,y,y,y,TRUE
F150_57,y,y,y,TRUE
F150_58,y,y,y,TRUE
F150_59,y,y,y,TRUE
F150_60,y,y,y,TRUE
F150_61,y,y,y,TRUE
F150_62,y,y,y,TRUE
F150_63,y,y,y,TRUE
F150_64,y,y,y,TRUE
F150_65,y,y,y,TRUE
F150_66,y,y,y,TRUE
F150_67,y,y,y,TRUE
F150_68,y,y,y,TRUE
F150_69,y,y,y,TRUE
F150_70,y,y,y,TRUE
F150_71,y,y,y,TRUE
F150_72,y,y,y,TRUE
F150_73,y,y,y,TRUE
F150_74,y,y,y,TRUE
F150_75,y,y,y,TRUE
F150_76,y,y,y,TRUE
F150_77,y,y,y,TRUE
F150_78,y,y,y,TRUE
F150_79,y,y,y,TRUE
F150_80,y,y,y,TRUE
F150_81,y,y,y,TRUE
F150_82,y,y,y,TRUE
F150_83,y,y,y,TRUE
F150_84,y,y,y,TRUE
F150_85,y,y,y,TRUE
F150_86,y,y,y,TRUE
F150_87,y,y,y,TRUE
F150_88,y,y,y,TRUE
F150_89,y,y,y,TRUE
F150_90,y,y,y,TRUE
F150_91,y,y,y,TRUE
F150_92,y,y,y,TRUE
F150_93,y,y,y,TRUE
F150_94,y,y,y,TRUE
F1500_1,y,y,y,TRUE
F1500_2,y,y,y,TRUE
F1500_3,y,y,y,TRUE
F1500_4,y,y,y,TRUE
F1500_5,y,y,y,TRUE
F1500_6,y,y,y,TRUE
F1500_7,y,y,y,TRUE
F1500_8,y,y,y,TRUE
F1500_9,y,y,y,TRUE
F1500_10,y,y,y,TRUE
F1500_11,y,y,y,TRUE
F1500_12,y,y,y,TRUE
F1500_13,y,y,y,TRUE
F1500_14,y,y,y,TRUE
F1500_15,y,y,y,TRUE
F1500_16,y,y,y,TRUE
F1500_17,y,y,y,TRUE
F1500_18,y,y,y,TRUE
F1500_19,y,y,y,TRUE
F1500_20,y,y,y,TRUE
F1500_21,y,y,y,TRUE
F1500_22,y,y,y,TRUE
F1500_23,y,y,y,TRUE
F1500_24,y,y,y,TRUE
F1500_25,y,y,y,TRUE
F1500_26,y,y,y,TRUE
F1500_27,y,y,y,TRUE
F1500_28,y,y,y,TRUE
F1500_29,y,y,y,TRUE
F1500_30,y,y,y,TRUE
F1500_31,y,y,y,TRUE
F1500_32,y,y,y,TRUE
F1500_33,y,y,y,TRUE
F1500_34,y,y,y,TRUE
F1500_35,y,y,y,TRUE
F1500_36,y,y,y,TRUE
F1500_37,y,y,y,TRUE
F1500_38,y,y,y,TRUE
F1500_39,y,y,y,TRUE
F1500_40,y,y,y,TRUE
F1500_41,y,y,y,TRUE
F1500_42,y,y,y,TRUE
F1500_43,y,y,y,TRUE
F1500_44,y,y,y,TRUE
F1500_45,y,y,y,TRUE
F1500_46,y,y,y,TRUE
F1500_47,y,y,y,TRUE
F1500_48,y,y,y,TRUE
F1500_49,y,y,y,TRUE
F1500_50,y,y,y,TRUE
F1500_51,y,y,y,TRUE
F1500_52,y,y,y,TRUE
F1500_53,y,y,y,TRUE
F1500_54,y,y,y,TRUE
F1500_55,y,y,y,TRUE
F1500_56,y,y,y,TRUE
F1500_57,y,y,y,TRUE
F1500_58,y,y,y,TRUE
F1500_59,y,y,y,TRUE
F1500_60,y,y,y,TRUE
F1500_61,y,y,y,TRUE
F1500_62,y,y,y,TRUE
F1500_63,y,y,y,TRUE
F1500_64,y,y,y,TRUE
F1500_65,y,y,y,TRUE
F1500_66,y,y,y,TRUE
F1500_67,y,y,y,TRUE
F1500_68,y,y,y,TRUE
F1500_69,y,y,y,TRUE
F1500_70,y,y,y,TRUE
F1500_71,y,y,y,TRUE
F1500_72,y,y,y,TRUE
F1500_73,y,y,y,TRUE
F1500_74,y,y,y,TRUE
F1500_75,y,y,y,TRUE
F1500_76,y,y,y,TRUE
F1500_77,y,y,y,TRUE
F1500_78,y,y,y,TRUE
F1500_79,y,y,y,TRUE
F1500_80,y,y,y,TRUE
F1500_81,y,y,y,TRUE
F1500_82,y,y,y,TRUE
F1500_83,y,y,y,TRUE
F1500_84,y,y,y,TRUE
F1500_85,y,y,y,TRUE
F1500_86,y,y,y,TRUE
F1500_87,y,y,y,TRUE
F1500_88,y,y,y,TRUE
F1500_89,y,y,y,TRUE
F1500_90,y,y,y,TRUE
F1500_91,y,y,y,TRUE
F1500_92,y,y,y,TRUE
F1500_93,y,y,y,TRUE
F1500_94,y,y,y,TRUE
F15000_1,y,y,y,TRUE
F15000_2,y,y,y,TRUE
F15000_3,y,y,y,TRUE
F15000_4,y,y,y,TRUE
F15000_5,y,y,y,TRUE
F15000_6,y,y,y,TRUE
F15000_7,y,y,y,TRUE
F15000_8,y,y,y,TRUE
F15000_9,y,y,y,TRUE
F15000_10,y,y,y,TRUE
F15000_11,y,y,y,TRUE
F15000_12,y,y,y,TRUE
F15000_13,y,y,y,TRUE
F15000_14,y,y,y,TRUE
F15000_15,y,y,y,TRUE
F15000_16,y,y,y,TRUE
F15000_17,y,y,y,TRUE
F15000_18,y,y,y,TRUE
F15000_19,y,y,y,TRUE
F15000_20,y,y,y,TRUE
F15000_21,y,y,y,TRUE
F15000_22,y,y,y,TRUE
F15000_23,y,y,y,TRUE
F15000_24,y,y,y,TRUE
F15000_25,y,y,y,TRUE
F15000_26,y,y,y,TRUE
F15000_27,y,y,y,TRUE
F15000_28,y,y,y,TRUE
F15000_29,y,y,y,TRUE
F15000_30,y,y,y,TRUE
F15000_31,y,y,y,TRUE
F15000_32,y,y,y,TRUE
F15000_33,y,y,y,TRUE
F15000_34,y,y,y,TRUE
F15000_35,y,y,y,TRUE
F15000_36,y,y,y,TRUE
F15000_37,y,y,y,TRUE
F15000_38,y,y,y,TRUE
F15000_39,y,y,y,TRUE
F15000_40,y,y,y,TRUE
F15000_41,y,y,y,TRUE
F15000_42,y,y,y,TRUE
F15000_43,y,y,y,TRUE
F15000_44,y,y,y,TRUE
F15000_45,y,y,y,TRUE
F15000_46,y,y,y,TRUE
F15000_47,y,y,y,TRUE
F15000_48,y,y,y,TRUE
F15000_49,y,y,y,TRUE
F15000_50,y,y,y,TRUE
F15000_51,y,y,y,TRUE
F15000_52,y,y,y,TRUE
F15000_53,y,y,y,TRUE
F15000_54,y,y,y,TRUE
F15000_55,y,y,y,TRUE
F15000_56,y,y,y,TRUE
F15000_57,y,y,y,TRUE
F15000_58,y,y,y,TRUE
F15000_59,y,y,y,TRUE
F15000_60,y,y,y,TRUE
F15000_61,y,y,y,TRUE
F15000_62,y,y,y,TRUE
F15000_63,y,y,y,TRUE
F15000_64,y,y,y,TRUE
F15000_65,y,y,y,TRUE
F15000_66,y,y,y,TRUE
F15000_67,y,y,y,TRUE
F15000_68,y,y,y,TRUE
F15000_69,y,y,y,TRUE
F15000_70,y,y,y,TRUE
F15000_71,y,y,y,TRUE
F15000_72,y,y,y,TRUE
F15000_73,y,y,y,TRUE
F15000_74,y,y,y,TRUE
F15000_75,y,y,y,TRUE
F15000_76,y,y,y,TRUE
F15000_77,y,y,y,TRUE
F15000_78,y,y,y,TRUE
F15000_79,y,y,y,TRUE
F15000_80,y,y,y,TRUE
F15000_81,y,y,y,TRUE
F15000_82,y,y,y,TRUE
F15000_83,y,y,y,TRUE
F15000_84,y,y,y,TRUE
F15000_85,y,y,y,TRUE
F15000_86,y,y,y,TRUE
F15000_87,y,y,y,TRUE
F15000_88,y,y,y,TRUE
F15000_89,y,y,y,TRUE
F15000_90,y,y,y,TRUE
F15000_91,y,y,y,TRUE
F15000_92,y,y,y,TRUE
F15000_93,y,y,y,TRUE
F15000_94,y,y,y,TRUE
